"","Date","Births"
"1","1959-01-01",35
"2","1959-01-02",32
"3","1959-01-03",30
"4","1959-01-04",31
"5","1959-01-05",44
"6","1959-01-06",29
"7","1959-01-07",45
"8","1959-01-08",43
"9","1959-01-09",38
"10","1959-01-10",27
"11","1959-01-11",38
"12","1959-01-12",33
"13","1959-01-13",55
"14","1959-01-14",47
"15","1959-01-15",45
"16","1959-01-16",37
"17","1959-01-17",50
"18","1959-01-18",43
"19","1959-01-19",41
"20","1959-01-20",52
"21","1959-01-21",34
"22","1959-01-22",53
"23","1959-01-23",39
"24","1959-01-24",32
"25","1959-01-25",37
"26","1959-01-26",43
"27","1959-01-27",39
"28","1959-01-28",35
"29","1959-01-29",44
"30","1959-01-30",38
"31","1959-01-31",24
"32","1959-02-01",23
"33","1959-02-02",31
"34","1959-02-03",44
"35","1959-02-04",38
"36","1959-02-05",50
"37","1959-02-06",38
"38","1959-02-07",51
"39","1959-02-08",31
"40","1959-02-09",31
"41","1959-02-10",51
"42","1959-02-11",36
"43","1959-02-12",45
"44","1959-02-13",51
"45","1959-02-14",34
"46","1959-02-15",52
"47","1959-02-16",47
"48","1959-02-17",45
"49","1959-02-18",46
"50","1959-02-19",39
"51","1959-02-20",48
"52","1959-02-21",37
"53","1959-02-22",35
"54","1959-02-23",52
"55","1959-02-24",42
"56","1959-02-25",45
"57","1959-02-26",39
"58","1959-02-27",37
"59","1959-02-28",30
"60","1959-03-01",35
"61","1959-03-02",28
"62","1959-03-03",45
"63","1959-03-04",34
"64","1959-03-05",36
"65","1959-03-06",50
"66","1959-03-07",44
"67","1959-03-08",39
"68","1959-03-09",32
"69","1959-03-10",39
"70","1959-03-11",45
"71","1959-03-12",43
"72","1959-03-13",39
"73","1959-03-14",31
"74","1959-03-15",27
"75","1959-03-16",30
"76","1959-03-17",42
"77","1959-03-18",46
"78","1959-03-19",41
"79","1959-03-20",36
"80","1959-03-21",45
"81","1959-03-22",46
"82","1959-03-23",43
"83","1959-03-24",38
"84","1959-03-25",34
"85","1959-03-26",35
"86","1959-03-27",56
"87","1959-03-28",36
"88","1959-03-29",32
"89","1959-03-30",50
"90","1959-03-31",41
"91","1959-04-01",39
"92","1959-04-02",41
"93","1959-04-03",47
"94","1959-04-04",34
"95","1959-04-05",36
"96","1959-04-06",33
"97","1959-04-07",35
"98","1959-04-08",38
"99","1959-04-09",38
"100","1959-04-10",34
"101","1959-04-11",53
"102","1959-04-12",34
"103","1959-04-13",34
"104","1959-04-14",38
"105","1959-04-15",35
"106","1959-04-16",32
"107","1959-04-17",42
"108","1959-04-18",34
"109","1959-04-19",46
"110","1959-04-20",30
"111","1959-04-21",46
"112","1959-04-22",45
"113","1959-04-23",54
"114","1959-04-24",34
"115","1959-04-25",37
"116","1959-04-26",35
"117","1959-04-27",40
"118","1959-04-28",42
"119","1959-04-29",58
"120","1959-04-30",51
"121","1959-05-01",32
"122","1959-05-02",35
"123","1959-05-03",38
"124","1959-05-04",33
"125","1959-05-05",39
"126","1959-05-06",47
"127","1959-05-07",38
"128","1959-05-08",52
"129","1959-05-09",30
"130","1959-05-10",34
"131","1959-05-11",40
"132","1959-05-12",35
"133","1959-05-13",42
"134","1959-05-14",41
"135","1959-05-15",42
"136","1959-05-16",38
"137","1959-05-17",24
"138","1959-05-18",34
"139","1959-05-19",43
"140","1959-05-20",36
"141","1959-05-21",55
"142","1959-05-22",41
"143","1959-05-23",45
"144","1959-05-24",41
"145","1959-05-25",37
"146","1959-05-26",43
"147","1959-05-27",39
"148","1959-05-28",33
"149","1959-05-29",43
"150","1959-05-30",40
"151","1959-05-31",38
"152","1959-06-01",45
"153","1959-06-02",46
"154","1959-06-03",34
"155","1959-06-04",35
"156","1959-06-05",48
"157","1959-06-06",51
"158","1959-06-07",36
"159","1959-06-08",33
"160","1959-06-09",46
"161","1959-06-10",42
"162","1959-06-11",48
"163","1959-06-12",34
"164","1959-06-13",41
"165","1959-06-14",35
"166","1959-06-15",40
"167","1959-06-16",34
"168","1959-06-17",30
"169","1959-06-18",36
"170","1959-06-19",40
"171","1959-06-20",39
"172","1959-06-21",45
"173","1959-06-22",38
"174","1959-06-23",47
"175","1959-06-24",33
"176","1959-06-25",30
"177","1959-06-26",42
"178","1959-06-27",43
"179","1959-06-28",41
"180","1959-06-29",41
"181","1959-06-30",59
"182","1959-07-01",43
"183","1959-07-02",45
"184","1959-07-03",38
"185","1959-07-04",37
"186","1959-07-05",45
"187","1959-07-06",42
"188","1959-07-07",57
"189","1959-07-08",46
"190","1959-07-09",51
"191","1959-07-10",41
"192","1959-07-11",47
"193","1959-07-12",26
"194","1959-07-13",35
"195","1959-07-14",44
"196","1959-07-15",41
"197","1959-07-16",42
"198","1959-07-17",36
"199","1959-07-18",45
"200","1959-07-19",45
"201","1959-07-20",45
"202","1959-07-21",47
"203","1959-07-22",38
"204","1959-07-23",42
"205","1959-07-24",35
"206","1959-07-25",36
"207","1959-07-26",39
"208","1959-07-27",45
"209","1959-07-28",43
"210","1959-07-29",47
"211","1959-07-30",36
"212","1959-07-31",41
"213","1959-08-01",50
"214","1959-08-02",39
"215","1959-08-03",41
"216","1959-08-04",46
"217","1959-08-05",64
"218","1959-08-06",45
"219","1959-08-07",34
"220","1959-08-08",38
"221","1959-08-09",44
"222","1959-08-10",48
"223","1959-08-11",46
"224","1959-08-12",44
"225","1959-08-13",37
"226","1959-08-14",39
"227","1959-08-15",44
"228","1959-08-16",45
"229","1959-08-17",33
"230","1959-08-18",44
"231","1959-08-19",38
"232","1959-08-20",46
"233","1959-08-21",46
"234","1959-08-22",40
"235","1959-08-23",39
"236","1959-08-24",44
"237","1959-08-25",48
"238","1959-08-26",50
"239","1959-08-27",41
"240","1959-08-28",42
"241","1959-08-29",51
"242","1959-08-30",41
"243","1959-08-31",44
"244","1959-09-01",38
"245","1959-09-02",68
"246","1959-09-03",40
"247","1959-09-04",42
"248","1959-09-05",51
"249","1959-09-06",44
"250","1959-09-07",45
"251","1959-09-08",36
"252","1959-09-09",57
"253","1959-09-10",44
"254","1959-09-11",42
"255","1959-09-12",53
"256","1959-09-13",42
"257","1959-09-14",34
"258","1959-09-15",40
"259","1959-09-16",56
"260","1959-09-17",44
"261","1959-09-18",53
"262","1959-09-19",55
"263","1959-09-20",39
"264","1959-09-21",59
"265","1959-09-22",55
"266","1959-09-23",73
"267","1959-09-24",55
"268","1959-09-25",44
"269","1959-09-26",43
"270","1959-09-27",40
"271","1959-09-28",47
"272","1959-09-29",51
"273","1959-09-30",56
"274","1959-10-01",49
"275","1959-10-02",54
"276","1959-10-03",56
"277","1959-10-04",47
"278","1959-10-05",44
"279","1959-10-06",43
"280","1959-10-07",42
"281","1959-10-08",45
"282","1959-10-09",50
"283","1959-10-10",48
"284","1959-10-11",43
"285","1959-10-12",40
"286","1959-10-13",59
"287","1959-10-14",41
"288","1959-10-15",42
"289","1959-10-16",51
"290","1959-10-17",49
"291","1959-10-18",45
"292","1959-10-19",43
"293","1959-10-20",42
"294","1959-10-21",38
"295","1959-10-22",47
"296","1959-10-23",38
"297","1959-10-24",36
"298","1959-10-25",42
"299","1959-10-26",35
"300","1959-10-27",28
"301","1959-10-28",44
"302","1959-10-29",36
"303","1959-10-30",45
"304","1959-10-31",46
"305","1959-11-01",48
"306","1959-11-02",49
"307","1959-11-03",43
"308","1959-11-04",42
"309","1959-11-05",59
"310","1959-11-06",45
"311","1959-11-07",52
"312","1959-11-08",46
"313","1959-11-09",42
"314","1959-11-10",40
"315","1959-11-11",40
"316","1959-11-12",45
"317","1959-11-13",35
"318","1959-11-14",35
"319","1959-11-15",40
"320","1959-11-16",39
"321","1959-11-17",33
"322","1959-11-18",42
"323","1959-11-19",47
"324","1959-11-20",51
"325","1959-11-21",44
"326","1959-11-22",40
"327","1959-11-23",57
"328","1959-11-24",49
"329","1959-11-25",45
"330","1959-11-26",49
"331","1959-11-27",51
"332","1959-11-28",46
"333","1959-11-29",44
"334","1959-11-30",52
"335","1959-12-01",45
"336","1959-12-02",32
"337","1959-12-03",46
"338","1959-12-04",41
"339","1959-12-05",34
"340","1959-12-06",33
"341","1959-12-07",36
"342","1959-12-08",49
"343","1959-12-09",43
"344","1959-12-10",43
"345","1959-12-11",34
"346","1959-12-12",39
"347","1959-12-13",35
"348","1959-12-14",52
"349","1959-12-15",47
"350","1959-12-16",52
"351","1959-12-17",39
"352","1959-12-18",40
"353","1959-12-19",42
"354","1959-12-20",42
"355","1959-12-21",53
"356","1959-12-22",39
"357","1959-12-23",40
"358","1959-12-24",38
"359","1959-12-25",44
"360","1959-12-26",34
"361","1959-12-27",37
"362","1959-12-28",52
"363","1959-12-29",48
"364","1959-12-30",55
"365","1959-12-31",50
